"time{s}","chassis\zChassis","wheel\zWheel","ground\zGround"
5.09600000000004,1.09964300071312,0.599919026592258,0.1
5.09700000000004,1.09963454306121,0.599918411479929,0.1
5.09800000000004,1.09962611536662,0.599917800444684,0.1
5.09900000000004,1.09961771785874,0.599917193499249,0.1
5.10000000000004,1.09960935076546,0.599916590656182,0.1
5.10100000000004,1.09960101431315,0.599915991927871,0.1
5.10200000000004,1.09959270872664,0.599915397326541,0.1
5.10300000000004,1.09958443422925,0.599914806864247,0.1
5.10400000000004,1.09957619104277,0.599914220552876,0.1
5.10500000000004,1.09956797938746,0.599913638404148,0.1
5.10600000000004,1.09955979948201,0.599913060429616,0.1
5.10700000000004,1.09955165154361,0.599912486640665,0.1
5.10800000000004,1.09954353578787,0.599911917048511,0.1
5.10900000000004,1.09953545242885,0.599911351664203,0.1
5.11000000000004,1.09952740167907,0.599910790498624,0.1
5.11100000000004,1.09951938374947,0.599910233562485,0.1
5.11200000000004,1.09951139884943,0.599909680866332,0.1
5.11300000000004,1.09950344718677,0.599909132420544,0.1
5.11400000000004,1.09949552896773,0.599908588235328,0.1
5.11500000000004,1.09948764439697,0.599908048320727,0.1
5.11600000000004,1.09947979367757,0.599907512686615,0.1
5.11700000000004,1.09947197701103,0.599906981342696,0.1
5.11800000000004,1.09946419459726,0.599906454298509,0.1
5.11900000000004,1.09945644663458,0.599905931563423,0.1
5.12000000000004,1.09944873331971,0.599905413146639,0.1
5.12100000000004,1.09944105484776,0.599904899057193,0.1
5.12200000000004,1.09943341141227,0.599904389303949,0.1
5.12300000000004,1.09942580320514,0.599903883895605,0.1
5.12400000000005,1.09941823041668,0.599903382840693,0.1
5.12500000000005,1.09941069323557,0.599902886147575,0.1
5.12600000000005,1.0994031918489,0.599902393824446,0.1
5.12700000000005,1.09939572644213,0.599901905879333,0.1
5.12800000000005,1.09938829719908,0.599901422320096,0.1
5.12900000000005,1.09938090430198,0.599900943154427,0.1
5.13000000000005,1.09937354793139,0.599900468389852,0.1
5.13100000000005,1.09936622826627,0.599899998033728,0.1
5.13200000000005,1.09935894548395,0.599899532093245,0.1
5.13300000000005,1.09935169976009,0.599899070575427,0.1
5.13400000000005,1.09934449126875,0.59989861348713,0.1
5.13500000000005,1.09933732018233,0.599898160835044,0.1
5.13600000000005,1.09933018667157,0.59989771262569,0.1
5.13700000000005,1.09932309090558,0.599897268865425,0.1
5.13800000000005,1.09931603305184,0.599896829560439,0.1
5.13900000000005,1.09930901327614,0.599896394716753,0.1
5.14000000000005,1.09930203174264,0.599895964340224,0.1
5.14100000000005,1.09929508861384,0.599895538436543,0.1
5.14200000000005,1.09928818405057,0.599895117011235,0.1
5.14300000000005,1.09928131821202,0.599894700069657,0.1
5.14400000000005,1.09927449125569,0.599894287617002,0.1
5.14500000000005,1.09926770333745,0.599893879658298,0.1
5.14600000000005,1.09926095461146,0.599893476198406,0.1
5.14700000000005,1.09925424523025,0.599893077242022,0.1
5.14800000000005,1.09924757534467,0.59989268279368,0.1
5.14900000000005,1.09924094510388,0.599892292857744,0.1
5.15000000000005,1.09923435465538,0.599891907438417,0.1
5.15100000000005,1.09922780414499,0.599891526539737,0.1
5.15200000000005,1.09922129371686,0.599891150165576,0.1
5.15300000000005,1.09921482351346,0.599890778319645,0.1
5.15400000000006,1.09920839367556,0.599890411005487,0.1
5.15500000000006,1.09920200434229,0.599890048226485,0.1
5.15600000000006,1.09919565565104,0.599889689985857,0.1
5.15700000000006,1.09918934773757,0.599889336286658,0.1
5.15800000000006,1.09918308073592,0.59988898713178,0.1
5.15900000000006,1.09917685477846,0.599888642523951,0.1
5.16000000000006,1.09917066999587,0.59988830246574,0.1
5.16100000000006,1.09916452651712,0.599887966959549,0.1
5.16200000000006,1.09915842446953,0.599887636007622,0.1
5.16300000000006,1.09915236397869,0.599887309612039,0.1
5.16400000000006,1.09914634516852,0.599886987774719,0.1
5.16500000000006,1.09914036816124,0.599886670497421,0.1
5.16600000000006,1.09913443307739,0.599886357781741,0.1
5.16700000000006,1.09912854003579,0.599886049629115,0.1
5.16800000000006,1.0991226891536,0.599885746040819,0.1
5.16900000000006,1.09911688054625,0.599885447017969,0.1
5.17000000000006,1.09911111432749,0.599885152561521,0.1
5.17100000000006,1.09910539060938,0.599884862672271,0.1
5.17200000000006,1.09909970950228,0.599884577350856,0.1
5.17300000000006,1.09909407111484,0.599884296597755,0.1
5.17400000000006,1.09908847555404,0.599884020413286,0.1
5.17500000000006,1.09908292292513,0.599883748797611,0.1
5.17600000000006,1.09907741333168,0.599883481750734,0.1
5.17700000000006,1.09907194687557,0.599883219272499,0.1
5.17800000000006,1.09906652365698,0.599882961362595,0.1
5.17900000000006,1.09906114377437,0.599882708020553,0.1
5.18000000000006,1.09905580732452,0.599882459245748,0.1
5.18100000000006,1.09905051440252,0.599882215037397,0.1
5.18200000000006,1.09904526510175,0.599881975394563,0.1
5.18300000000006,1.09904005951391,0.599881740316153,0.1
5.18400000000007,1.09903489772897,0.599881509800917,0.1
5.18500000000007,1.09902977983523,0.599881283847453,0.1
5.18600000000007,1.0990247059193,0.599881062454201,0.1
5.18700000000007,1.09901967606608,0.59988084561945,0.1
5.18800000000007,1.09901469035877,0.599880633341333,0.1
5.18900000000007,1.09900974887889,0.599880425617832,0.1
5.19000000000007,1.09900485170627,0.599880222446772,0.1
5.19100000000007,1.09899999891903,0.59988002382583,0.1
5.19200000000007,1.0989951905936,0.599879829752527,0.1
5.19300000000007,1.09899042680474,0.599879640224234,0.1
5.19400000000007,1.0989857076255,0.59987945523817,0.1
5.19500000000007,1.09898103312725,0.599879274791404,0.1
5.19600000000007,1.09897640337966,0.599879098880853,0.1
5.19700000000007,1.09897181845073,0.599878927503285,0.1
5.19800000000007,1.09896727840675,0.599878760655316,0.1
5.19900000000007,1.09896278331236,0.599878598333415,0.1
5.20000000000007,1.09895833323048,0.599878440533901,0.1
5.20100000000007,1.09895392822237,0.599878287252945,0.1
5.20200000000007,1.0989495683476,0.599878138486569,0.1
5.20300000000007,1.09894525366406,0.599877994230649,0.1
5.20400000000007,1.09894098422798,0.599877854480911,0.1
