t,pos1,pos2
1.6,0.148769158,0.103289137
1.601,0.148557991,0.103262145
1.602,0.148345575,0.103235294
1.603,0.148131921,0.103208581
1.604,0.147917039,0.103182002
1.605,0.14770094,0.103155551
1.606,0.147483634,0.103129224
1.607,0.147265131,0.103103014
1.608,0.147045443,0.103076914
1.609,0.146824578,0.103050919
1.61,0.146602549,0.103025019
1.611,0.146379365,0.102999208
1.612,0.146155038,0.102973477
1.613,0.145929576,0.102947818
1.614,0.145702992,0.102922222
1.615,0.145475295,0.102896681
1.616,0.145246495,0.102871184
1.617,0.145016604,0.102845723
1.618,0.144785632,0.102820289
1.619,0.14455359,0.102794873
1.62,0.144320487,0.102769465
1.621,0.144086334,0.102744055
1.622,0.143851141,0.102718636
1.623,0.14361492,0.102693197
1.624,0.14337768,0.102667731
1.625,0.143139433,0.102642228
1.626,0.142900187,0.10261668
1.627,0.142659954,0.10259108
1.628,0.142418744,0.102565418
1.629,0.142176567,0.102539689
1.63,0.141933434,0.102513884
1.631,0.141689356,0.102487998
1.632,0.141444341,0.102462023
1.633,0.141198402,0.102435954
1.634,0.140951547,0.102409786
1.635,0.140703788,0.102383513
1.636,0.140455134,0.102357131
1.637,0.140205597,0.102330636
1.638,0.139955185,0.102304024
1.639,0.13970391,0.102277293
1.64,0.139451782,0.102250439
1.641,0.139198811,0.102223461
1.642,0.138945007,0.102196357
1.643,0.138690381,0.102169126
1.644,0.138434943,0.102141767
1.645,0.138178703,0.102114281
1.646,0.137921671,0.102086667
1.647,0.137663858,0.102058927
1.648,0.137405274,0.102031061
1.649,0.137145929,0.102003073
1.65,0.136885833,0.101974963
1.651,0.136624997,0.101946734
1.652,0.136363431,0.10191839
1.653,0.136101146,0.101889934
1.654,0.135838151,0.101861369
1.655,0.135574456,0.1018327
1.656,0.135310073,0.101803931
1.657,0.135045012,0.101775066
1.658,0.134779282,0.101746112
1.659,0.134512894,0.101717072
1.66,0.134245859,0.101687953
1.661,0.133978186,0.10165876
1.662,0.133709887,0.101629499
1.663,0.133440971,0.101600176
1.664,0.13317145,0.101570797
1.665,0.132901332,0.101541369
1.666,0.132630629,0.101511897
1.667,0.132359351,0.101482389
1.668,0.132087509,0.10145285
1.669,0.131815112,0.101423288
1.67,0.131542172,0.101393708
1.671,0.131268699,0.101364117
1.672,0.130994703,0.101334521
1.673,0.130720195,0.101304927
1.674,0.130445185,0.101275341
1.675,0.130169684,0.101245769
1.676,0.129893702,0.101216217
1.677,0.129617249,0.101186691
1.678,0.129340337,0.101157196
1.679,0.129062976,0.101127738
1.68,0.128785176,0.101098322
1.681,0.128506947,0.101068954
1.682,0.128228301,0.101039638
1.683,0.127949248,0.101010379
1.684,0.127669798,0.100981181
1.685,0.127389962,0.100952048
1.686,0.12710975,0.100922985
1.687,0.126829174,0.100893995
1.688,0.126548243,0.100865081
1.689,0.126266968,0.100836247
1.69,0.12598536,0.100807496
1.691,0.125703428,0.100778829
1.692,0.125421185,0.10075025
1.693,0.12513864,0.10072176
1.694,0.124855803,0.100693361
1.695,0.124572686,0.100665056
1.696,0.124289298,0.100636844
1.697,0.124005651,0.100608727
1.698,0.123721754,0.100580706
1.699,0.123437619,0.100552781
1.7,0.123153255,0.100524953
1.701,0.122868674,0.100497222
1.702,0.122583884,0.100469587
1.703,0.122298898,0.100442049
1.704,0.122013725,0.100414605
1.705,0.121728376,0.100387257
1.706,0.121442861,0.100360003
1.707,0.121157191,0.100332841
1.708,0.120871375,0.100305771
1.709,0.120585425,0.100278791
1.71,0.12029935,0.1002519
1.711,0.12001316,0.100225096
1.712,0.119726867,0.100198377
1.713,0.119440479,0.100171741
1.714,0.119154008,0.100145187
1.715,0.118867464,0.100118713
1.716,0.118580856,0.100092316
1.717,0.118294195,0.100065994
1.718,0.118007491,0.100039746
1.719,0.117720754,0.100013569
1.72,0.117433994,0.099987461
1.721,0.117147221,0.09996142
1.722,0.116860445,0.099935444
1.723,0.116573676,0.099909531
1.724,0.116286925,0.099883679
1.725,0.1160002,0.099857886
1.726,0.115713512,0.09983215
1.727,0.115426871,0.099806469
1.728,0.115140286,0.099780842
1.729,0.114853768,0.099755266
1.73,0.114567325,0.099729741
1.731,0.114280969,0.099704264
1.732,0.113994708,0.099678835
1.733,0.113708552,0.099653452
1.734,0.113422511,0.099628115
1.735,0.113136595,0.099602821
1.736,0.112850813,0.099577571
1.737,0.112565175,0.099552363
1.738,0.112279689,0.099527198
1.739,0.111994367,0.099502074
1.74,0.111709217,0.099476991
1.741,0.111424248,0.099451949
1.742,0.111139471,0.099426947
1.743,0.110854894,0.099401987
1.744,0.110570527,0.099377069
1.745,0.110286379,0.099352192
1.746,0.11000246,0.099327357
1.747,0.109718779,0.099302564
1.748,0.109435344,0.099277816
1.749,0.109152166,0.099253112
1.75,0.108869253,0.099228453
1.751,0.108586616,0.09920384
1.752,0.108304261,0.099179276
1.753,0.1080222,0.09915476
1.754,0.107740441,0.099130295
1.755,0.107458993,0.099105882
1.756,0.107177864,0.099081523
1.757,0.106897065,0.099057219
1.758,0.106616604,0.099032972
1.759,0.10633649,0.099008785
1.76,0.106056732,0.098984658
1.761,0.105777338,0.098960594
1.762,0.105498318,0.098936595
1.763,0.105219681,0.098912663
1.764,0.104941434,0.0988888
1.765,0.104663588,0.098865009
1.766,0.104386151,0.09884129
1.767,0.10410913,0.098817647
1.768,0.103832537,0.098794082
1.769,0.103556377,0.098770597
1.77,0.103280662,0.098747194
1.771,0.103005398,0.098723875
1.772,0.102730595,0.098700643
1.773,0.102456261,0.098677499
1.774,0.102182405,0.098654446
1.775,0.101909034,0.098631485
1.776,0.101636159,0.09860862
1.777,0.101363786,0.09858585
1.778,0.101091924,0.09856318
1.779,0.100820583,0.09854061
1.78,0.100549769,0.098518143
1.781,0.100279491,0.098495779
1.782,0.100009758,0.098473521
1.783,0.099740578,0.098451371
1.784,0.099471959,0.09842933
1.785,0.099203909,0.0984074
1.786,0.098936436,0.098385581
1.787,0.098669549,0.098363876
1.788,0.098403255,0.098342285
1.789,0.098137562,0.09832081
1.79,0.097872479,0.098299451
1.791,0.097608013,0.098278211
1.792,0.097344172,0.098257089
1.793,0.097080965,0.098236087
1.794,0.096818398,0.098215206
1.795,0.09655648,0.098194446
1.796,0.096295219,0.098173807
1.797,0.096034622,0.098153291
1.798,0.095774697,0.098132898
1.799,0.095515452,0.098112627
1.8,0.095256893,0.098092481
1.801,0.09499903,0.098072458
1.802,0.094741869,0.098052559
1.803,0.094485418,0.098032785
1.804,0.094229684,0.098013134
1.805,0.093974674,0.097993608
1.806,0.093720397,0.097974206
1.807,0.093466859,0.097954928
1.808,0.093214068,0.097935774
1.809,0.092962031,0.097916744
1.81,0.092710755,0.097897837
1.811,0.092460247,0.097879054
1.812,0.092210515,0.097860394
1.813,0.091961565,0.097841856
1.814,0.091713405,0.09782344
1.815,0.091466041,0.097805146
1.816,0.091219481,0.097786974
1.817,0.090973731,0.097768923
1.818,0.090728798,0.097750993
1.819,0.090484689,0.097733182
1.82,0.090241412,0.097715492
1.821,0.089998971,0.09769792
1.822,0.089757375,0.097680468
1.823,0.08951663,0.097663134
1.824,0.089276743,0.097645918
1.825,0.089037719,0.097628819
1.826,0.088799566,0.097611838
1.827,0.08856229,0.097594974
1.828,0.088325897,0.097578225
1.829,0.088090394,0.097561593
1.83,0.087855788,0.097545076
1.831,0.087622083,0.097528675
1.832,0.087389287,0.097512389
1.833,0.087157406,0.097496218
1.834,0.086926446,0.097480161
1.835,0.086696413,0.097464219
1.836,0.086467312,0.097448391
1.837,0.086239151,0.097432677
1.838,0.086011935,0.097417077
1.839,0.08578567,0.097401591
1.84,0.085560361,0.097386219
1.841,0.085336015,0.097370961
1.842,0.085112638,0.097355816
1.843,0.084890234,0.097340786
1.844,0.08466881,0.09732587
1.845,0.084448372,0.097311069
1.846,0.084228924,0.097296382
1.847,0.084010473,0.09728181
1.848,0.083793024,0.097267353
1.849,0.083576582,0.097253011
1.85,0.083361154,0.097238784
1.851,0.083146743,0.097224674
1.852,0.082933356,0.09721068
1.853,0.082720997,0.097196803
1.854,0.082509673,0.097183042
1.855,0.082299387,0.0971694
