"time{s}","chassis\zChassis","wheel\zWheel","ground\zGround","chassis1\zChassis","wheel1\zWheel","ground1\zGround"
1.8919999999999,1.07894834845216,0.597003637524928,0.1,1.08042574908137,0.599033317644026,0.1
1.8929999999999,1.07876445779632,0.596992820716644,0.1,1.08023921805371,0.59902233656894,0.1
1.8939999999999,1.0785816821511,0.596982130684896,0.1,1.0800538286605,0.599011486208407,0.1
1.8949999999999,1.07840002549451,0.596971567737023,0.1,1.07986958491671,0.599000766787106,0.1
1.8959999999999,1.07821949175824,0.596961132167116,0.1,1.07968649078983,0.598990178513125,0.1
1.8969999999999,1.07804008482759,0.596950824255464,0.1,1.07950455019976,0.59897972157783,0.1
1.8979999999999,1.07786180854143,0.596940644268045,0.1,1.0793237670188,0.598969396155783,0.1
1.8989999999999,1.07768466669211,0.596930592456067,0.1,1.07914414507153,0.598959202404711,0.1
1.8999999999999,1.07750866302547,0.59692066905557,0.1,1.07896568813482,0.598949140465533,0.1
1.9009999999999,1.0773338012407,0.596910874287074,0.1,1.0787883999377,0.598939210462427,0.1
1.9019999999999,1.07716008499039,0.596901208355282,0.1,1.07861228416134,0.598929412502952,0.1
1.9029999999999,1.07698751788037,0.596891671448839,0.1,1.07843734443899,0.598919746678214,0.1
1.9039999999999,1.07681610346975,0.596882263740142,0.1,1.07826358435595,0.598910213063076,0.1
1.9049999999999,1.07664584527081,0.596872985385198,0.1,1.07809100744945,0.598900811716414,0.1
1.9059999999999,1.07647674674897,0.596863836523543,0.1,1.07791961720867,0.598891542681406,0.1
1.9069999999999,1.07630881132275,0.596854817278203,0.1,1.07774941707466,0.598882405985868,0.1
1.9079999999999,1.07614204236372,0.596845927755706,0.1,1.07758041044031,0.598873401642622,0.1
1.9089999999999,1.07597644319643,0.59683716804615,0.1,1.07741260065027,0.598864529649897,0.1
1.9099999999999,1.07581201709839,0.596828538223308,0.1,1.07724599100096,0.59885578999176,0.1
1.9109999999999,1.07564876730002,0.596820038344781,0.1,1.0770805847405,0.598847182638581,0.1
1.9119999999999,1.07548669698462,0.596811668452198,0.1,1.07691638506868,0.598838707547519,0.1
1.9129999999999,1.0753258092883,0.596803428571457,0.1,1.07675339513694,0.598830364663034,0.1
1.9139999999999,1.07516610729997,0.596795318713001,0.1,1.07659161804831,0.598822153917418,0.1
1.9149999999999,1.07500759406131,0.596787338872137,0.1,1.07643105685743,0.598814075231345,0.1
1.9159999999999,1.07485027256669,0.596779489029387,0.1,1.07627171457047,0.598806128514438,0.1
1.9169999999999,1.07469414576321,0.596771769150875,0.1,1.07611359414515,0.598798313665846,0.1
1.9179999999999,1.07453921655059,0.596764179188743,0.1,1.07595669849072,0.598790630574834,0.1
1.9189999999999,1.07438548778122,0.596756719081595,0.1,1.07580103046789,0.598783079121376,0.1
1.9199999999999,1.07423296226009,0.596749388754972,0.1,1.07564659288891,0.598775659176759,0.1
1.9209999999999,1.07408164274477,0.596742188121838,0.1,1.07549338851749,0.598768370604187,0.1
1.9219999999999,1.07393153194542,0.596735117083104,0.1,1.07534142006879,0.598761213259379,0.1
1.9229999999999,1.07378263252473,0.596728175528157,0.1,1.07519069020947,0.598754186991177,0.1
1.9239999999999,1.07363494709796,0.596721363335412,0.1,1.07504120155766,0.598747291642136,0.1
1.9249999999999,1.07348847823288,0.596714680372872,0.1,1.07489295668294,0.598740527049117,0.1
1.9259999999999,1.07334322844979,0.596708126498702,0.1,1.07474595810638,0.598733893043861,0.1
1.9269999999999,1.0731992002215,0.596701701561816,0.1,1.07460020830054,0.598727389453565,0.1
1.9279999999999,1.07305639597335,0.596695405402454,0.1,1.07445570968947,0.598721016101428,0.1
1.9289999999999,1.07291481808319,0.596689237852784,0.1,1.07431246464875,0.598714772807198,0.1
1.9299999999999,1.07277446888138,0.596683198737483,0.1,1.07417047550547,0.598708659387687,0.1
1.9309999999999,1.07263535065082,0.596677287874335,0.1,1.07402974453828,0.598702675657281,0.1
1.9319999999999,1.07249746562695,0.596671505074811,0.1,1.07389027397742,0.59869682142842,0.1
1.9329999999999,1.07236081599773,0.596665850144653,0.1,1.0737520660047,0.59869109651206,0.1
1.9339999999999,1.07222540390374,0.596660322884443,0.1,1.07361512275359,0.598685500718112,0.1
1.9349999999999,1.07209123143808,0.596654923090165,0.1,1.07347944630921,0.598680033855857,0.1
1.9359999999999,1.0719583006465,0.596649650553755,0.1,1.07334503870838,0.598674695734335,0.1
1.9369999999999,1.07182661352736,0.596644505063636,0.1,1.07321190193966,0.598669486162707,0.1
1.9379999999999,1.07169617203169,0.596639486405236,0.1,1.07308003794338,0.598664404950595,0.1
1.9389999999999,1.07156697806319,0.596634594361492,0.1,1.07294944861168,0.598659451908389,0.1
1.9399999999999,1.0714390334783,0.596629828713329,0.1,1.07282013578857,0.598654626847527,0.1
1.9409999999999,1.07131234008621,0.596625189240131,0.1,1.07269210126998,0.598649929580749,0.1
1.9419999999999,1.07118689964888,0.59662067572017,0.1,1.07256534680378,0.598645359922322,0.1
1.9429999999999,1.07106271388116,0.596616287931033,0.1,1.07243987408986,0.598640917688233,0.1
